Year,Herbivore Count
0,46
1,77
2,106
3,107
4,117
5,131
6,154
7,162
8,173
9,178
10,183
11,189
12,197
13,207
14,202
15,201
16,211
17,207
18,206
19,207
20,191
21,196
22,206
23,198
24,205
25,201
26,197
27,206
28,203
29,202
30,215
31,210
32,217
33,211
34,207
35,207
36,207
37,203
38,202
39,203
40,212
41,213
42,206
43,206
44,212
45,217
46,214
47,205
48,204
49,208
50,209
51,209
52,201
53,193
54,197
55,197
56,202
57,205
58,205
59,196
60,198
61,198
62,205
63,202
64,191
65,187
66,197
67,202
68,211
69,219
70,212
71,210
72,199
73,198
74,198
75,201
76,195
77,196
78,205
79,202
80,211
81,210
82,210
83,204
84,194
85,188
86,194
87,199
88,201
89,204
90,201
91,205
92,208
93,213
94,208
95,212
96,205
97,203
98,204
99,201
100,199
101,201
102,196
103,199
104,195
105,197
106,197
107,204
108,212
109,222
110,212
111,207
112,198
113,189
114,193
115,199
116,200
117,202
118,196
119,198
120,196
121,199
122,207
123,203
124,204
125,207
126,200
127,195
128,203
129,209
130,208
131,209
132,201
133,196
134,201
135,210
136,224
137,225
138,212
139,206
140,202
141,207
142,205
143,211
144,209
145,212
146,204
147,203
148,208
149,206
150,199
151,203
152,196
153,198
154,191
155,194
156,191
157,195
158,186
159,191
160,191
161,188
162,191
163,198
164,193
165,190
166,182
167,194
168,195
169,200
170,204
171,195
172,193
173,200
174,202
175,198
176,198
177,208
178,201
179,198
180,199
181,203
182,194
183,188
184,198
185,193
186,199
187,204
188,203
189,213
190,209
191,207
192,199
193,207
194,201
195,207
196,200
197,206
198,203
199,193
200,196
201,196
202,190
203,194
204,193
205,199
206,212
207,215
208,217
209,226
210,218
211,219
212,216
213,220
214,209
215,205
216,207
217,218
218,215
219,216
220,218
221,217
222,207
223,213
224,205
225,195
226,204
227,204
228,206
229,207
230,209
231,216
232,223
233,221
234,227
235,219
236,226
237,227
238,221
239,219
240,213
241,215
242,206
243,205
244,209
245,202
246,199
247,204
248,204
249,210
250,222
