Year,Herbivore Count
0,49
1,84
2,108
3,102
4,108
5,126
6,150
7,169
8,172
9,170
10,169
11,176
12,184
13,189
14,194
15,200
16,203
17,204
18,200
19,197
20,202
21,206
22,199
23,196
24,201
25,207
26,203
27,197
28,202
29,210
30,205
31,201
32,200
33,197
34,203
35,208
36,207
37,202
38,203
39,193
40,198
41,202
42,202
43,206
44,208
45,208
46,200
47,198
48,203
49,192
50,188
51,189
52,195
53,195
54,197
55,203
56,202
57,201
58,196
59,198
60,192
61,187
62,201
63,196
64,189
65,183
66,185
67,189
68,197
69,206
70,197
71,195
72,203
73,203
74,218
75,211
76,217
77,216
78,216
79,204
80,204
81,216
82,211
83,212
84,211
85,211
86,207
87,215
88,205
89,197
90,189
91,193
92,192
93,209
94,207
95,201
96,193
97,188
98,193
99,196
100,199
101,189
102,189
103,201
104,191
105,196
106,196
107,201
108,197
109,205
110,209
111,205
112,209
113,207
114,208
115,201
116,192
117,188
118,191
119,199
120,203
121,210
122,196
123,195
124,196
125,201
126,206
127,209
128,195
129,201
130,202
131,208
132,211
133,204
134,198
135,199
136,195
137,189
138,195
139,188
140,192
141,188
142,186
143,183
144,192
145,192
146,195
147,195
148,189
149,198
150,202
151,206
152,203
153,202
154,197
155,196
156,188
157,196
158,189
159,185
160,195
161,202
162,196
163,196
164,193
165,198
166,196
167,196
168,192
169,184
170,192
171,204
172,204
173,213
174,214
175,209
176,196
177,191
178,195
179,180
180,176
181,176
182,181
183,188
184,188
185,185
186,181
187,194
188,195
189,199
190,204
191,210
192,211
193,203
194,209
195,213
196,205
197,211
198,215
199,211
200,216
201,224
202,217
203,220
204,224
205,210
206,213
207,216
208,214
209,205
210,189
211,191
212,189
213,191
214,196
215,192
216,196
217,200
218,188
219,190
220,190
221,200
222,199
223,200
224,196
225,192
226,201
227,199
228,197
229,197
230,201
231,198
232,202
233,200
234,207
235,212
236,212
237,196
238,196
239,195
240,205
241,204
242,201
243,206
244,209
245,205
246,206
247,209
248,210
249,207
250,207
